,City Name,Country,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Date
370,Satipo,PE,-11.25,-74.64,70.11,80,72,0.45,1594871313
371,Guozhen,CN,34.37,107.36,80.53,61,92,6.29,1594871148
372,Genhe,CN,50.78,121.52,87.94,40,57,2.08,1594871313
373,Sikandra Rao,IN,27.7,78.4,94.89,48,25,11.16,1594871313
374,Petrokamenskoye,RU,57.72,60.65,82.83,55,0,4.0,1594871313
375,Sokoni,TZ,-6.43,39.55,76.82,76,98,27.6,1594871313
376,Kayes,ML,14.0,-11.0,84.2,70,20,9.17,1594871313
377,Murgab,TM,37.5,61.97,84.2,48,40,11.41,1594871313
378,Lata,PT,40.16,-8.33,73.99,82,0,2.24,1594871231
379,Tura,IN,25.52,90.22,81.55,86,47,5.91,1594871313
380,Boma,GH,7.08,-2.17,66.04,96,100,2.51,1594871314
381,Port Blair,IN,11.67,92.75,81.64,81,100,11.36,1594871314
382,Boca do Acre,BR,-8.75,-67.4,72.46,89,9,1.45,1594871314
383,Ballina,AU,-28.87,153.57,69.01,42,0,4.0,1594871063
384,Tuatapere,NZ,-46.13,167.68,42.75,74,17,3.65,1594870794
385,Kalmunai,LK,7.42,81.82,86.07,63,97,4.25,1594871069
386,Hasaki,JP,35.73,140.83,77.0,78,75,5.82,1594871265
387,Puerto Carreño,CO,6.19,-67.49,74.1,90,100,6.53,1594871029
388,Coahuayana Viejo,MX,18.73,-103.68,77.63,84,97,3.71,1594871247
389,Tsiroanomandidy,MG,-18.77,46.03,55.78,88,41,2.51,1594871314
390,Khorinsk,RU,52.17,109.77,74.28,55,19,14.36,1594871315
391,Olinda,BR,-8.01,-34.86,75.2,88,40,3.36,1594871315
392,Vagay,RU,57.94,69.02,83.12,60,0,7.43,1594871315
393,Ahipara,NZ,-35.17,173.17,62.53,84,100,7.11,1594871315
394,Calvinia,ZA,-31.47,19.78,37.71,66,0,9.78,1594871088
395,Caçu,BR,-18.56,-51.13,74.62,43,79,5.1,1594871315
396,Sakakah,SA,29.97,40.21,87.8,12,0,5.82,1594871271
397,Kamenka,RU,51.32,42.77,61.0,77,38,3.0,1594871085
398,Santa Rosa,PH,14.31,121.11,93.0,59,57,7.0,1594871315
399,Mayor Pablo Lagerenza,PY,-19.93,-60.77,75.29,58,65,3.36,1594871315
400,Bograd,RU,54.23,90.83,62.6,55,84,6.71,1594871315
401,Giżycko,PL,54.04,21.76,57.36,90,96,6.64,1594871316
402,Waddān,LY,29.16,16.14,74.07,44,0,6.78,1594871316
403,Lima,PE,-12.04,-77.03,59.0,87,90,11.41,1594871018
404,Kodinsk,RU,58.69,99.18,63.72,47,19,10.13,1594871316
405,Vardø,NO,70.37,31.11,57.2,71,31,5.82,1594871270
406,Port Hardy,CA,50.7,-127.42,68.0,77,75,8.05,1594871257
407,Fairlie,GB,55.76,-4.86,55.99,91,100,4.0,1594871316
408,Juegang,CN,32.32,121.19,80.01,74,40,11.21,1594871316
409,Saldanha,ZA,-33.01,17.94,42.8,75,0,2.24,1594871237
410,Irupi,BR,-20.35,-41.64,59.72,94,98,3.53,1594871317
411,Nagato,JP,34.38,131.2,78.8,69,75,8.05,1594871276
412,Neuquén,AR,-38.95,-68.06,41.0,86,100,2.24,1594871091
413,Kloulklubed,PW,7.04,134.26,82.4,78,75,5.82,1594871102
414,Necochea,AR,-38.55,-58.74,39.0,82,10,7.0,1594871039
415,Ryōtsu-minato,JP,38.08,138.43,75.2,78,75,9.17,1594871317
416,Fairbanks,US,64.84,-147.72,68.0,59,75,5.82,1594871163
417,Ugra,RU,54.78,34.33,52.59,94,100,9.31,1594871317
418,Vao,NC,-22.67,167.48,69.67,71,19,21.3,1594871317
419,Onguday,RU,50.75,86.15,68.77,58,83,2.77,1594871244
420,Banamba,ML,13.55,-7.45,77.56,76,100,4.14,1594871318
421,Beirut,LB,33.89,35.49,78.8,78,75,5.82,1594871018
422,Makakilo City,US,21.35,-158.09,86.0,54,90,6.93,1594871092
423,Kargil,IN,34.57,76.1,59.86,34,20,3.22,1594871318
424,Caxito,AO,-8.58,13.66,71.6,88,40,2.24,1594871092
425,Lucapa,AO,-8.42,20.74,57.74,37,2,4.88,1594871318
426,Kruisfontein,ZA,-34.0,24.73,42.39,58,34,4.27,1594871252
427,Sørland,NO,67.67,12.69,55.09,83,90,4.32,1594871085
428,Bacong,PH,9.25,123.3,84.11,74,100,9.78,1594871319
429,La Asuncion,VE,11.03,-63.86,80.6,88,8,11.41,1594871319
430,Mulchén,CL,-37.72,-72.23,47.73,91,100,3.24,1594871319
431,Broken Hill,AU,-31.95,141.43,60.8,31,0,11.41,1594871235
432,Amahai,ID,-3.33,128.92,79.7,84,77,9.1,1594871254
433,Monte Mor,BR,-22.95,-47.32,57.2,82,40,20.8,1594871319
434,Bac Lieu,VN,9.29,105.72,86.47,68,80,6.49,1594871319
435,Campechuela,CU,20.23,-77.28,77.59,87,24,13.06,1594871319
436,Ciudad Bolivar,VE,8.12,-63.55,77.36,84,68,8.25,1594871320
437,Grand Gaube,MU,-20.01,57.66,68.0,81,39,5.99,1594871320
438,Portland,US,45.52,-122.68,79.0,57,0,7.25,1594871176
439,Beyneu,KZ,45.32,55.2,90.5,20,0,9.22,1594871320
440,Brae,GB,60.4,-1.35,53.6,93,89,9.17,1594871320
441,Hervey Bay,AU,-25.3,152.85,70.0,34,0,8.01,1594871060
442,Yatsuomachi-higashikumisaka,JP,36.57,137.13,82.0,61,40,3.36,1594871320
443,Katherine,AU,-14.47,132.27,86.0,19,1,12.75,1594871320
444,Kutum,SD,14.2,24.67,72.46,67,99,11.14,1594871321
445,Sterling,US,39.01,-77.43,79.0,61,75,12.75,1594871250
446,Laguna,US,38.42,-121.42,78.8,44,1,9.17,1594871238
447,Sompeta,IN,18.93,84.6,86.07,70,25,7.29,1594871321
448,Saraland,US,30.82,-88.07,73.4,100,20,4.14,1594871321
449,Manokwari,ID,-0.87,134.08,85.12,65,1,9.64,1594871255
450,Ngunguru,NZ,-35.62,174.5,61.0,3,48,5.01,1594871321
451,Surenavan,AM,39.75,44.8,75.7,49,0,4.7,1594871321
452,Yebaishou,CN,41.4,119.64,93.09,28,3,8.93,1594871321
453,Linxia Chengguanzhen,CN,35.6,103.21,76.8,44,78,5.73,1594871321
454,Kirkwall,GB,58.98,-2.96,55.0,100,100,8.05,1594871321
455,Marzuq,YE,14.4,46.47,76.51,52,100,8.16,1594871270
456,Port-Gentil,GA,-0.72,8.78,73.6,80,100,6.38,1594871247
457,Rājākhera,IN,26.9,78.17,95.18,47,0,11.21,1594871322
458,Tairua,NZ,-37.02,175.85,53.01,88,100,18.99,1594871322
459,Inuvik,CA,68.35,-133.72,62.6,59,75,6.93,1594871322
460,Botwood,CA,49.15,-55.35,48.0,87,100,5.84,1594871322
461,Mizdah,LY,31.45,12.98,72.03,47,0,3.0,1594871256
462,Ouadda,CF,8.08,22.4,67.48,94,100,2.91,1594871322
463,Poya,NC,-21.35,165.15,72.27,52,4,8.93,1594871322
464,Abay,KZ,49.63,72.85,73.63,46,0,16.96,1594871322
465,Oruzgan,AF,32.83,66.0,81.88,25,18,4.27,1594871322
466,Tarakan,ID,3.3,117.63,79.54,85,100,13.02,1594871251
467,Paptalaya,HN,15.5,-84.32,76.8,92,100,2.91,1594871323
468,Callaguip,PH,18.07,120.49,85.48,71,12,6.24,1594871323
469,Lavrentiya,RU,65.58,-171.0,49.48,82,76,4.72,1594871246
470,Colmenar Viejo,ES,40.66,-3.77,66.99,56,93,3.11,1594871323
471,Ola,RU,59.58,151.28,59.18,82,51,9.91,1594871064
472,Havøysund,NO,71.0,24.66,57.2,81,81,2.24,1594871323
473,Erzin,TR,36.96,36.2,79.0,89,56,0.58,1594871082
474,Conceição do Araguaia,BR,-8.26,-49.26,73.63,49,0,2.15,1594871095
475,Chimoio,MZ,-19.12,33.48,51.8,100,75,11.41,1594871323
476,Porosozero,RU,62.72,32.73,52.29,75,100,8.48,1594871324
477,Tigil',RU,57.8,158.67,57.29,91,100,7.18,1594871324
478,Muros,ES,42.78,-9.06,61.0,75,25,7.0,1594871257
479,Lázaro Cárdenas,MX,17.96,-102.2,80.82,86,69,3.18,1594871324
480,Elizabeth City,US,36.29,-76.25,73.99,81,99,5.64,1594871324
481,Zemio,CF,5.03,25.14,67.87,97,100,2.3,1594871324
482,Rongcheng,CN,30.63,117.85,81.0,99,99,3.74,1594871227
483,Clonakilty,IE,51.62,-8.87,57.99,93,40,9.17,1594871324
484,Fort Nelson,CA,58.81,-122.7,69.8,52,75,4.7,1594871246
485,Okhotsk,RU,59.38,143.3,60.98,82,90,10.13,1594871324
486,Saint Anthony,US,45.02,-93.22,71.6,59,1,2.82,1594871325
487,Margate,GB,51.38,1.39,60.01,90,99,4.0,1594870822
488,Sibolga,ID,1.74,98.78,86.68,62,4,3.67,1594871247
489,Shido,JP,34.32,134.17,78.8,65,75,5.82,1594871325
490,Riverton,US,40.52,-111.94,78.8,24,1,4.7,1594871253
491,Trairi,BR,-3.28,-39.27,77.5,79,98,10.74,1594871325
492,Nazaré,BR,-13.04,-39.01,66.76,96,36,4.23,1594871325
493,Paita,PE,-5.09,-81.11,62.22,86,0,10.98,1594871180
494,La Ronge,CA,55.1,-105.28,62.6,72,75,11.41,1594871012
495,Ambilobe,MG,-13.2,49.05,71.06,76,80,2.82,1594871091
496,Honningsvåg,NO,70.98,25.97,53.6,81,53,2.24,1594871326
497,Kemlya,RU,54.7,45.24,62.65,75,49,11.52,1594871326
498,Heilbron,ZA,-27.28,27.97,31.05,76,0,5.01,1594871326
499,Balakhta,RU,55.38,91.6,62.22,60,59,3.71,1594871326
500,Monrovia,LR,6.3,-10.8,74.44,79,81,9.31,1594871279
501,Banjar,ID,-8.19,114.97,82.4,78,40,19.46,1594871326
502,Alice Springs,AU,-23.7,133.88,62.6,29,0,12.75,1594871244
503,San Patricio,MX,19.22,-104.7,78.17,82,100,1.95,1594871245
504,Nānākuli,US,21.39,-158.15,86.0,54,90,6.93,1594871018
505,Estrela,BR,-28.06,-50.94,43.07,88,39,5.03,1594871327
506,Wasilla,US,61.58,-149.44,75.2,49,1,4.7,1594871327
507,Krivosheino,RU,57.34,83.93,73.35,66,18,10.36,1594871327
508,Kavieng,PG,-2.57,150.8,84.61,65,24,3.31,1594871235
509,Edéa,CM,3.8,10.13,75.2,100,75,1.12,1594871327
510,Chulym,RU,55.1,80.96,69.69,66,0,3.76,1594871327
511,Fujin,CN,47.26,132.03,85.44,64,47,6.55,1594871327
512,Westlock,CA,54.15,-113.87,66.2,68,1,4.7,1594871327
513,Bam,IR,29.11,58.36,94.24,17,96,5.39,1594871328
514,Darhan,MN,49.49,105.92,55.15,81,100,12.57,1594871328
515,Zhangye,CN,38.93,100.45,73.62,47,100,5.41,1594871328
516,Mount Isa,AU,-20.73,139.5,75.2,16,0,6.93,1594871237
517,Masunga,BW,-20.62,27.45,42.53,84,25,14.56,1594871328
518,Pāveh,IR,35.04,46.36,75.2,38,0,9.17,1594871328
519,Plettenberg Bay,ZA,-34.05,23.37,52.23,42,59,4.41,1594871063
520,Kyrnasivka,UA,48.6,28.98,53.01,90,69,2.77,1594871328
521,Hualmay,PE,-11.1,-77.61,59.81,85,36,9.69,1594871329
522,Olmos,PE,-5.98,-79.75,63.03,82,4,3.36,1594871329
523,Sinfra,CI,6.62,-5.92,69.8,100,75,4.7,1594871329
524,Mīrābād,AF,30.44,61.84,93.79,20,0,19.98,1594871329
525,Steamboat Springs,US,40.48,-106.83,75.2,37,1,5.82,1594871329
526,Zhezkazgan,KZ,47.8,67.71,82.4,34,67,17.9,1594871257
527,Victor Harbor,AU,-35.57,138.62,59.0,74,69,6.35,1594871329
528,Bongor,TD,10.28,15.37,74.25,87,83,3.31,1594871329
529,Verkhniy Baskunchak,RU,48.23,46.72,75.04,46,0,8.55,1594871330
530,Bathsheba,BB,13.22,-59.52,82.4,74,40,13.87,1594871247
531,Paamiut,GL,61.99,-49.67,44.53,74,21,13.33,1594871330
532,Mlonggo,ID,-6.53,110.7,88.09,54,45,4.85,1594871330
533,Krasnozerskoye,RU,53.98,79.24,72.82,52,32,7.52,1594871330
534,Barra do Corda,BR,-5.5,-45.25,74.01,71,27,2.24,1594871330
535,Vredendal,ZA,-31.67,18.5,50.11,44,0,13.62,1594871330
536,Cockburn Town,TC,21.46,-71.14,81.09,80,21,18.52,1594871278
537,Ca Mau,VN,9.18,105.15,89.65,62,18,3.13,1594871330
538,Norfolk,US,42.17,-71.25,61.0,87,1,1.74,1594871330
539,Quryq,KZ,43.2,51.65,86.99,46,92,10.4,1594871330
540,Carauari,BR,-4.88,-66.9,73.51,72,99,1.39,1594871331
541,Rājsamand,IN,25.07,73.88,80.6,94,75,2.24,1594871331
542,Yerbogachën,RU,61.28,108.01,59.23,66,91,10.65,1594871059
543,Jianning,CN,27.83,113.15,86.0,79,20,4.47,1594871331
544,Córdoba,AR,-31.41,-64.18,51.01,56,43,5.82,1594871307
545,Omboué,GA,-1.57,9.26,71.96,87,99,1.19,1594871331
546,Arrondissement de Saint-Denis,FR,48.92,2.33,62.6,72,90,6.93,1594871331
547,Beauchamps,FR,50.01,1.52,59.0,79,97,6.38,1594871331
548,Natal,BR,-5.79,-35.21,73.4,94,40,6.93,1594871271
549,Alta Gracia,AR,-31.65,-64.43,51.01,61,6,5.82,1594871332
550,Boulder,US,40.08,-105.35,73.0,53,1,4.97,1594870822
551,Bima,ID,-8.47,118.72,89.06,46,43,5.06,1594871332
552,Raja,SS,8.46,25.68,68.94,91,100,3.09,1594871332
553,Maniwaki,CA,46.38,-75.97,62.2,88,97,4.68,1594871332
554,Bitung,ID,1.45,125.18,87.8,66,20,4.7,1594871332
555,Tilichiki,RU,60.47,166.1,54.07,84,91,7.18,1594871275
556,Ugep,NG,5.81,8.08,70.59,99,100,2.13,1594871332
557,La Unión,PE,-5.4,-80.75,65.37,78,0,12.17,1594871332
558,Gizo Government Station,SB,-8.1,156.84,84.22,70,90,5.97,1594871087
559,Kamaishi,JP,39.27,141.88,68.0,82,75,4.7,1594871062
560,Caravelas,BR,-17.71,-39.25,70.95,88,51,12.33,1594871258
561,At-Bashi,KG,41.17,75.81,70.09,32,66,2.28,1594871333
